STATE  SERIES (Base Year : 1987-88=100),Centre Name,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Conversion Factor
STATE  SERIES (Base Year : 1987-88=100),Ballari,937,942,947,952,958,963,968,973,978,985,992,998,7.39
STATE  SERIES (Base Year : 1987-88=100),Bhadravathi,957,963,967,972,976,981,986,991,996,1004,1011,1018,9.19
STATE  SERIES (Base Year : 1987-88=100),Dandeli,958,963,967,971,976,981,985,990,994,1002,1009,1015,NA
STATE  SERIES (Base Year : 1987-88=100),Kalaburagi,911,916,920,926,932,938,943,949,954,961,969,976,8.26
STATE  SERIES (Base Year : 1987-88=100),Hassan ,994,999,1005,1011,1015,1021,1025,1029,1034,1042,1050,1057,9.25
STATE  SERIES (Base Year : 1987-88=100),Mandya,1016,1022,1028,1034,1040,1045,1050,1054,1059,1066,1074,1081,7.92
STATE  SERIES (Base Year : 1987-88=100),Mangaluru,908,913,919,924,928,933,938,942,946,953,960,966,9.31
STATE  SERIES (Base Year : 1987-88=100),Raichur,1047,1053,1060,1065,1068,1073,1076,1081,1086,1093,1101,1108,NA
STATE  SERIES (Base Year : 1987-88=100),Tumakuru,849,853,860,865,869,873,878,878,883,890,897,904,NA
CENTRAL SERIES (Base Year : 2016=100),Bengaluru,115,116.1,116.1,116.5,116.9,117.7,117.9,118,117.9,118.7,120,119.9,2.75
CENTRAL SERIES (Base Year : 2016=100),Belagavi,118.7,119.6,120,120.3,120.3,120.8,123.8,124.1,124.3,125.8,126.2,126.9,2.86
CENTRAL SERIES (Base Year : 2016=100),Chikkamagaluru,110.7,112.2,112.2,111.4,111.5,112.2,113.4,113.3,114,115.3,116.1,117.6,NA
CENTRAL SERIES (Base Year : 2016=100),Davanagere,121.4,123.4,123.6,122.9,123.1,124.8,125.4,126.1,125.6,126.5,127.3,128.5,7.89
CENTRAL SERIES (Base Year : 2016=100),Hubballi-Dharwad,116.8,116.9,118,118.8,119.1,121,121.2,122,121.4,121.9,123.1,123.2,3.1
CENTRAL SERIES (Base Year : 2016=100),Madikeri,111.1,112.5,113.7,113.6,113.7,114.7,115.7,115.9,116.5,118.3,122.3,123,2.97
CENTRAL SERIES (Base Year : 2016=100),Mysuru,114.5,116.6,117.7,118.2,119.8,121.5,121.9,121.4,121.8,123.8,124.3,124.2,2.92
All-India,All-India,118.2,119,119.6,120.1,120.6,121.7,122.8,123,123.3,124.9,125.7,125.4,2.88
